Re = 1100,Re = 1400,Re = 1700,Re = 2000
5.08112350033812,6.73688591557567,8.93220403646193,11.8429004066294
0.264744822114963,0.381473144530641,0.549668011769098,0.792021476463135
120.004948485838,93.9478767719227,74.4680892458982,67.4942034669225
37.7615044935687,35.4546861905407,33.7003118094013,32.2987335397513
38.8179745181697,36.1021598715257,34.0544015685548,32.4299021596719
41.130364438927,38.0698310503899,35.7721375581556,33.9558238162429
44.1547660480637,40.8452850970618,38.3620090994421,36.3998438497927
46.2849458296237,42.8098947763431,40.2027085311637,38.1428459787324
48.8353904154286,45.2577102511345,42.5687484044501,40.4411823333314
50.7327622624596,47.15492147027,44.4586554525562,42.3206456372618
52.0039384282386,48.5146912782779,45.8764194957593,43.778685460679
53.5140294953226,50.1092226670295,47.5261343649009,45.4666206416674
25.8402274351514,24.6511257688658,24.8593859709687,25.1957126786084
38.0727671515265,36.0639188628684,34.5239105269215,33.2855215301949
