Re = 1100,Re = 1400,Re = 1700,Re = 2000
5.10932053792781,6.76871078919182,8.96703297583736,11.8793198430266
0.263709482364477,0.372118322797238,0.525093162823949,0.740954725292297
118.9140211072,94.9269127397446,80.5582975177732,69.2217288793222
55.4437005606492,52.2583170645331,49.827295238457,47.8795726795159
53.0426251980245,49.8537952900134,47.426368279559,45.4856002006736
52.1772750408251,48.9443489247599,46.4877174246756,44.5264513265613
50.6317716302336,47.4534387366578,45.0401848494682,43.1147863121762
48.5098510727607,45.5020437729905,43.2165713912621,41.392014016118
46.6595373789702,43.863194156098,41.7341551056559,40.0317017511707
43.6818318569795,41.1546882509294,39.2267638519912,37.6826068780693
41.2121334899116,39.0231669939822,37.3456403518525,35.9970371235574
39.4899551684561,37.6854399573672,36.2927479142685,35.1666421679875
23.4977194098214,24.5400538464177,24.3192467811202,24.4112027552938
38.1708884242087,36.4104085591389,35.0522497605474,33.9544294263046
