Re = 1100,Re = 1400,Re = 1700,Re = 2000
5.28093701863624,6.9027669139024,9.02267739598424,11.7936341191016
0.265876286077137,0.367506386020276,0.507984167217153,0.702158993582951
120.232632787814,93.1037702763212,77.8158555312131,63.3251898359982
39.0840736726735,37.1655493824232,35.6896249473071,34.4993601889766
39.4871509067554,37.5636943805374,36.0834464124503,34.8893453517491
42.6189707528125,40.4526198945489,38.7888048053318,37.4488367421858
45.7749398515626,43.4116976517239,41.5980422721807,40.1383068472336
47.6747090047777,45.1174412659809,43.1586479745531,41.5845747102877
49.7032430089226,46.9608346705991,44.8633114279452,43.1797813004387
51.2120601074988,48.4045481288751,46.2565024054076,44.5319428290296
52.0659877548491,49.2256634958572,47.0519538465602,45.3064223681718
52.9245924447395,50.2148005538255,48.1343424147446,46.4593112161796
24.59921450314,25.1181515928237,25.0105415985025,24.8338213779969
39.1687066954757,37.5286172669608,36.25824350704,35.2279976113035
