Re = 1100,Re = 1400,Re = 1700,Re = 2000
4.27291293742797,5.34075723137819,6.67546664821305,8.34373348962455
0.203434081590995,0.271367387451876,0.361985850141426,0.482864786859653
115.986551478681,92.9193292284293,73.6077335335267,65.2144642700155
38.304033386197,36.456509714033,35.0340523568041,33.8861437527749
40.3914997471704,38.1879969606705,36.5016509010007,35.1474832503881
42.7570893153682,40.2324996594802,38.3087264275192,36.7693374508504
45.3442098175121,42.5408151796278,40.4102968265042,38.7092028929817
46.9180507048643,43.8831702030666,41.5830878633831,39.7507545411157
49.0432858498469,45.850237129911,43.4312695808109,41.5048717538553
50.6353744327232,47.3604105311982,44.8783556545544,42.9010446096098
51.7031042995493,48.4613086811749,45.9996945777483,44.0355984550739
52.4547575856702,49.2060154834245,46.737303273425,44.7663516270024
25.3639077882824,24.8999525256649,24.9572670690844,23.8796544303257
39.0639707336587,37.0526619103577,35.5088897930048,34.2662364738023
