sample
114.61
113.68
114.07
113.92
115.27
115.81
115.53
113.56
113.95
114.17
115.82
113.47
115.38
115.89
116.05
114.54
115.67
113.08
115.13
114.64
115.42
113.84
113.69
115.58
113.96
113.7
113.55
115.32
113.27
115.87
